id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing
166,234,9772,2015-09-10 00:00:00,69,Fast,55.0,Normal,53
167,88,8658,2010-02-22 00:00:00,70,Fast,,Little,70
168,88,8658,2011-02-22 00:00:00,45,Balanced,,Little,60
169,88,8658,2012-02-22 00:00:00,51,Balanced,,Little,55
170,88,8658,2013-09-20 00:00:00,56,Balanced,,Little,57
171,88,8658,2014-09-19 00:00:00,56,Balanced,39.0,Normal,79
172,88,8658,2015-09-10 00:00:00,56,Balanced,32.0,Little,75
173,3,8655,2010-02-22 00:00:00,55,Balanced,,Little,70
174,3,8655,2011-02-22 00:00:00,55,Balanced,,Little,65
175,3,8655,2012-02-22 00:00:00,57,Balanced,,Little,57
176,3,8655,2013-09-20 00:00:00,44,Balanced,,Little,64
177,3,8655,2014-09-19 00:00:00,44,Balanced,31.0,Little,62
178,3,8655,2015-09-10 00:00:00,60,Balanced,60.0,Normal,65
179,1926,8483,2010-02-22 00:00:00,70,Fast,,Little,70
180,1926,8483,2011-02-22 00:00:00,70,Fast,,Little,30
181,1926,8483,2012-02-22 00:00:00,45,Balanced,,Little,52
182,1926,8483,2013-09-20 00:00:00,45,Balanced,,Little,52
183,1926,8483,2014-09-19 00:00:00,67,Fast,44.0,Normal,72
184,1926,8483,2015-09-10 00:00:00,62,Balanced,36.0,Normal,64
185,1898,8613,2015-09-10 00:00:00,47,Balanced,56.0,Normal,50
186,160,9911,2010-02-22 00:00:00,50,Balanced,,Little,65
187,160,9911,2011-02-22 00:00:00,55,Balanced,,Little,56
188,160,9911,2012-02-22 00:00:00,40,Balanced,,Little,48
189,160,9911,2013-09-20 00:00:00,40,Balanced,,Little,48
190,160,9911,2014-09-19 00:00:00,38,Balanced,54.0,Normal,48
191,160,9911,2015-09-10 00:00:00,69,Fast,38.0,Normal,57
192,189,9857,2010-02-22 00:00:00,65,Balanced,,Little,55
193,189,9857,2011-02-22 00:00:00,65,Balanced,,Little,35
194,189,9857,2012-02-22 00:00:00,40,Balanced,,Little,50
195,189,9857,2013-09-20 00:00:00,63,Balanced,,Little,48
196,189,9857,2014-09-19 00:00:00,63,Balanced,53.0,Normal,48
197,189,9857,2015-09-10 00:00:00,63,Balanced,53.0,Normal,48
198,4,8559,2010-02-22 00:00:00,55,Balanced,,Little,70
199,4,8559,2011-02-22 00:00:00,45,Balanced,,Little,70
200,4,8559,2012-02-22 00:00:00,57,Balanced,,Little,56
201,4,8559,2013-09-20 00:00:00,57,Balanced,,Little,53
202,4,8559,2014-09-19 00:00:00,57,Balanced,37.0,Normal,73
203,4,8559,2015-09-10 00:00:00,57,Balanced,34.0,Normal,61
204,59,9827,2010-02-22 00:00:00,70,Fast,,Little,35
205,59,9827,2011-02-22 00:00:00,50,Balanced,,Little,35
206,59,9827,2012-02-22 00:00:00,49,Balanced,,Little,37
207,59,9827,2013-09-20 00:00:00,49,Balanced,,Little,37
208,59,9827,2014-09-19 00:00:00,38,Balanced,49.0,Normal,36
209,59,9827,2015-09-10 00:00:00,51,Balanced,40.0,Normal,48
210,22,9789,2010-02-22 00:00:00,70,Fast,,Little,45
211,22,9789,2011-02-22 00:00:00,73,Fast,,Little,43
212,22,9789,2012-02-22 00:00:00,71,Fast,,Little,45
213,22,9789,2013-09-20 00:00:00,74,Fast,,Little,45
214,22,9789,2014-09-19 00:00:00,76,Fast,33.0,Little,61
215,22,9789,2015-09-10 00:00:00,71,Fast,37.0,Normal,40
216,23,9788,2010-02-22 00:00:00,65,Balanced,,Little,45
217,23,9788,2011-02-22 00:00:00,63,Balanced,,Little,46
218,23,9788,2012-02-22 00:00:00,57,Balanced,,Little,64
219,23,9788,2013-09-20 00:00:00,76,Fast,,Little,40
220,23,9788,2014-09-19 00:00:00,31,Slow,53.0,Normal,32
221,23,9788,2015-09-10 00:00:00,31,Slow,53.0,Normal,32
222,111376,4170,2010-02-22 00:00:00,45,Balanced,,Little,30
223,111376,4170,2011-02-22 00:00:00,50,Balanced,,Little,35
224,111376,4170,2012-02-22 00:00:00,49,Balanced,,Little,37
225,1943,8678,2010-02-22 00:00:00,70,Fast,,Little,70
226,1943,8678,2011-02-22 00:00:00,51,Balanced,,Little,66
227,1943,8678,2012-02-22 00:00:00,46,Balanced,,Little,46
228,1943,8678,2013-09-20 00:00:00,39,Balanced,,Little,38
229,1943,8678,2014-09-19 00:00:00,47,Balanced,44.0,Normal,48
230,1943,8678,2015-09-10 00:00:00,47,Balanced,36.0,Normal,47
231,1896,10264,2010-02-22 00:00:00,30,Slow,,Little,30
232,1896,10264,2011-02-22 00:00:00,30,Slow,,Little,30
233,1896,10264,2012-02-22 00:00:00,53,Balanced,,Little,46
234,1896,10264,2013-09-20 00:00:00,66,Balanced,,Little,54
235,1896,10264,2014-09-19 00:00:00,53,Balanced,35.0,Normal,55
236,1896,10264,2015-09-10 00:00:00,55,Balanced,35.0,Normal,55
237,190,9858,2010-02-22 00:00:00,30,Slow,,Little,30
238,190,9858,2011-02-22 00:00:00,30,Slow,,Little,50
239,190,9858,2012-02-22 00:00:00,35,Balanced,,Little,35
240,190,9858,2013-09-20 00:00:00,42,Balanced,,Little,43
241,190,9858,2014-09-19 00:00:00,42,Balanced,56.0,Normal,27
242,190,9858,2015-09-10 00:00:00,42,Balanced,56.0,Normal,43
243,378,8521,2010-02-22 00:00:00,50,Balanced,,Little,40
244,378,8521,2011-02-22 00:00:00,65,Balanced,,Little,35
245,378,8521,2012-02-22 00:00:00,64,Balanced,,Little,62
246,378,8521,2013-09-20 00:00:00,59,Balanced,,Little,54
247,378,8521,2014-09-19 00:00:00,59,Balanced,48.0,Normal,54
248,378,8521,2015-09-10 00:00:00,59,Balanced,48.0,Normal,54
249,1796,8191,2010-02-22 00:00:00,70,Fast,,Little,65
250,1796,8191,2011-02-22 00:00:00,36,Balanced,,Little,52
251,1796,8191,2012-02-22 00:00:00,48,Balanced,,Little,44
252,1796,8191,2013-09-20 00:00:00,54,Balanced,,Little,55
253,1796,8191,2014-09-19 00:00:00,48,Balanced,32.0,Little,74
254,1796,8191,2015-09-10 00:00:00,54,Balanced,32.0,Little,67
255,210,7819,2010-02-22 00:00:00,65,Balanced,,Little,30
256,210,7819,2011-02-22 00:00:00,65,Balanced,,Little,35
257,210,7819,2012-02-22 00:00:00,48,Balanced,,Little,52
258,210,7819,2013-09-20 00:00:00,48,Balanced,,Little,52
259,210,7819,2014-09-19 00:00:00,62,Balanced,50.0,Normal,45
260,210,7819,2015-09-10 00:00:00,62,Balanced,50.0,Normal,45
261,1842,8529,2010-02-22 00:00:00,40,Balanced,,Little,30
262,1842,8529,2011-02-22 00:00:00,65,Balanced,,Little,50
263,1842,8529,2012-02-22 00:00:00,40,Balanced,,Little,50
264,1842,8529,2013-09-20 00:00:00,63,Balanced,,Little,36
265,1842,8529,2014-09-19 00:00:00,63,Balanced,51.0,Normal,53
266,1842,8529,2015-09-10 00:00:00,67,Fast,32.0,Little,35
267,647,7788,2014-09-19 00:00:00,45,Balanced,39.0,Normal,42
268,647,7788,2015-09-10 00:00:00,43,Balanced,36.0,Normal,57
269,1961,8344,2010-02-22 00:00:00,65,Balanced,,Little,70
270,1961,8344,2011-02-22 00:00:00,67,Fast,,Little,49
271,1961,8344,2012-02-22 00:00:00,60,Balanced,,Little,64
272,1961,8344,2013-09-20 00:00:00,60,Balanced,,Little,69
273,1961,8344,2014-09-19 00:00:00,60,Balanced,29.0,Little,54
